"File","Lines"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\scroll-area.tsx","48"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\create-portal-session\route.ts","46"
"C:\Users\OCPCz\Desktop\AHP\src\app\sms-consent\page.tsx","46"
"C:\Users\OCPCz\Desktop\AHP\src\lib\browser-detection.ts","45"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\radio-group.tsx","44"
"C:\Users\OCPCz\Desktop\AHP\src\app\robots.ts","42"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\send-welcome-email\route.ts","41"
"C:\Users\OCPCz\Desktop\AHP\src\app\my-alerts\page.tsx","40"
"C:\Users\OCPCz\Desktop\AHP\src\lib\utils.ts","38"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\debug-subscription\route.ts","37"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\badge.tsx","36"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\toaster.tsx","35"
"C:\Users\OCPCz\Desktop\AHP\src\components\auth\ProtectedRoute.tsx","35"
"C:\Users\OCPCz\Desktop\AHP\next.config.ts","33"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\proxy-image\route.ts","33"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\popover.tsx","31"
"C:\Users\OCPCz\Desktop\AHP\src\app\api\vehicle-report\route.ts","31"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\separator.tsx","31"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\checkbox.tsx","30"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\tooltip.tsx","30"
"C:\Users\OCPCz\Desktop\AHP\src\app\dashboard-dealership-vehicles\page.tsx","29"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\switch.tsx","29"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\progress.tsx","28"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\venv\lib\python3.12\site-packages\selenium\webdriver\remote\isDisplayed.js","28"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\slider.tsx","28"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\label.tsx","26"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\proxy_ext_dir\background.js","25"
"C:\Users\OCPCz\Desktop\AHP\src\app\organization\layout.tsx","23"
"C:\Users\OCPCz\Desktop\AHP\src\components\DataSourceIcon.tsx","23"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\input.tsx","22"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\textarea.tsx","21"
"C:\Users\OCPCz\Desktop\AHP\src\app\analytics\page.tsx","18"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\skeleton.tsx","15"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\popup.js","13"
"C:\Users\OCPCz\Desktop\AHP\src\components\TamaguiProvider.tsx","13"
"C:\Users\OCPCz\Desktop\AHP\src\hooks\useAuth.ts","11"
"C:\Users\OCPCz\Desktop\AHP\src\components\ui\collapsible.tsx","11"
"C:\Users\OCPCz\Desktop\AHP\src\ai\genkit.ts","7"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\options.js","7"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\venv\lib\python3.12\site-packages\selenium\webdriver\remote\getAttribute.js","6"
"C:\Users\OCPCz\Desktop\AHP\next-env.d.ts","5"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\__MACOSX\._popup.js","1"
"C:\Users\OCPCz\Desktop\AHP\src\components\alerts\CreateAlertForm-backup.tsx","1"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\__MACOSX\._options.js","1"
"C:\Users\OCPCz\Desktop\AHP\src\ai\dev.ts","1"
"C:\Users\OCPCz\Desktop\AHP\facebook-scrape\downloaded_files\disable_csp\__MACOSX\._background.js","1"
"C:\Users\OCPCz\Desktop\AHP\src\app\invite\[token]\page.tsx","0"
"C:\Users\OCPCz\Desktop\AHP\src\app\vehicle\[id]\page.tsx","0"
"C:\Users\OCPCz\Desktop\AHP\src\app\vehicle\[id]\VehicleDetailClient.tsx","0"
